MsgID.LOCAL_POSITION,46.2880000,5.0957789,5.4946127,-4.9841423
MsgID.LOCAL_VELOCITY,46.2880000,1.1931477,0.8217757,0.0416630
MsgID.GLOBAL_POSITION,0.0000000,-122.3973859,37.7925283,4.9840000
MsgID.LOCAL_VELOCITY,0.0000000,1.3800000,0.8900000,0.0300000
MsgID.LOCAL_POSITION,46.5390000,5.3774142,5.6944647,-4.9846711
MsgID.LOCAL_VELOCITY,46.5390000,1.3864220,0.8960938,0.0336733
MsgID.GLOBAL_POSITION,0.0000000,-122.3973849,37.7925324,4.9870000
MsgID.LOCAL_VELOCITY,0.0000000,1.3200000,1.0900000,0.0500000
MsgID.LOCAL_POSITION,46.7880000,5.8303971,5.7809367,-4.9874692
MsgID.LOCAL_VELOCITY,46.7880000,1.3201652,1.0955104,0.0547330
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973812,37.7925336,4.9810000
MsgID.LOCAL_VELOCITY,0.0000000,0.7600000,1.6500000,0.0100000
MsgID.LOCAL_POSITION,47.0380000,5.9585643,6.1119976,-4.9819527
MsgID.LOCAL_VELOCITY,47.0380000,0.7616640,1.6546760,0.0163077
MsgID.GLOBAL_POSITION,0.0000000,-122.3973760,37.7925349,4.9880000
MsgID.LOCAL_VELOCITY,0.0000000,0.3700000,1.6300000,0.0000000
MsgID.LOCAL_POSITION,47.2890000,6.1060839,6.5772381,-4.9880481
MsgID.LOCAL_VELOCITY,47.2890000,0.3711504,1.6363683,0.0083052
MsgID.GLOBAL_POSITION,0.0000000,-122.3973725,37.7925372,4.9880000
MsgID.LOCAL_VELOCITY,0.0000000,0.8400000,1.3200000,-0.0100000
MsgID.LOCAL_POSITION,47.5390000,6.3597436,6.8801379,-4.9886122
MsgID.LOCAL_VELOCITY,47.5390000,0.8427823,1.3228561,-0.0159435
MsgID.GLOBAL_POSITION,0.0000000,-122.3973690,37.7925401,4.9860000
MsgID.LOCAL_VELOCITY,0.0000000,1.1300000,1.5700000,0.0100000
MsgID.LOCAL_POSITION,47.7880000,6.6792288,7.1921754,-4.9867024
MsgID.LOCAL_VELOCITY,47.7880000,1.1380050,1.5767121,0.0134902
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973621,37.7925414,4.9840000
MsgID.LOCAL_VELOCITY,0.0000000,1.0800000,1.4900000,0.0300000
MsgID.LOCAL_POSITION,48.0400000,6.8227873,7.8106570,-4.9841175
MsgID.LOCAL_VELOCITY,48.0400000,1.0834200,1.4916306,0.0375220
MsgID.GLOBAL_POSITION,0.0000000,-122.3973597,37.7925439,4.9800000
MsgID.LOCAL_VELOCITY,0.0000000,1.6200000,0.9000000,-0.0100000
MsgID.LOCAL_POSITION,48.2900000,7.1032557,8.0202913,-4.9804401
MsgID.LOCAL_VELOCITY,48.2900000,1.6223561,0.9001138,-0.0134081
MsgID.GLOBAL_POSITION,0.0000000,-122.3973572,37.7925478,4.9840000
MsgID.LOCAL_VELOCITY,0.0000000,1.7000000,0.6000000,0.0000000
MsgID.LOCAL_POSITION,48.5400000,7.5341811,8.2466040,-4.9840908
MsgID.LOCAL_VELOCITY,48.5400000,1.7023793,0.6041293,-0.0010386
MsgID.GLOBAL_POSITION,0.0000000,-122.3973543,37.7925516,4.9840000
MsgID.LOCAL_VELOCITY,0.0000000,1.4600000,0.9300000,-0.0100000
MsgID.LOCAL_POSITION,48.7890000,7.9558816,8.5063152,-4.9846740
MsgID.LOCAL_VELOCITY,48.7890000,1.4639299,0.9323059,-0.0133651
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973521,37.7925543,4.9840000
MsgID.LOCAL_VELOCITY,0.0000000,1.6900000,0.9200000,-0.0300000
MsgID.LOCAL_POSITION,49.0410000,8.2623796,8.6996775,-4.9845848
MsgID.LOCAL_VELOCITY,49.0410000,1.6913522,0.9242960,-0.0323401
MsgID.GLOBAL_POSITION,0.0000000,-122.3973498,37.7925572,4.9790000
MsgID.LOCAL_VELOCITY,0.0000000,1.5400000,1.1000000,-0.0200000
MsgID.LOCAL_POSITION,49.2900000,8.5878668,8.9054079,-4.9798641
MsgID.LOCAL_VELOCITY,49.2900000,1.5483850,1.1080232,-0.0290308
MsgID.GLOBAL_POSITION,0.0000000,-122.3973472,37.7925618,4.9840000
MsgID.LOCAL_VELOCITY,0.0000000,1.0700000,1.5500000,-0.0500000
MsgID.LOCAL_POSITION,49.5420000,9.0899010,9.1341133,-4.9844131
MsgID.LOCAL_VELOCITY,49.5420000,1.0719317,1.5503370,-0.0524358
MsgID.GLOBAL_POSITION,0.0000000,-122.3973437,37.7925634,4.9860000
MsgID.LOCAL_VELOCITY,0.0000000,0.5800000,1.5600000,-0.0200000
